Wall time,Step,Value
1702303024.100821,155692,1.0
1702303025.9501,155967,1.0
1702303028.7201679,156388,1.0
1702303030.4395452,156649,1.0
1702303033.238865,157078,1.0
1702303034.6780002,157296,1.0
1702303036.8493361,157626,1.0
1702303039.143727,157973,1.0
1702303041.322156,158302,1.0
1702303043.522512,158633,1.0
1702303045.384345,158914,1.0
1702303047.160518,159184,1.0
1702303049.19917,159491,1.0
1702303051.435273,159831,1.0
1702303053.091838,160084,1.0
1702303055.4256709,160438,1.0
1702303057.1398559,160696,1.0
1702303058.93024,160967,1.0
1702303060.964685,161276,1.0
1702303063.183528,161614,1.0
1702303065.022604,161893,1.0
1702303067.09196,162208,1.0
1702303069.4965,162572,1.0
1702303071.420835,162864,1.0
1702303072.89589,163088,1.0
1702303075.3913732,163470,1.0
1702303077.589772,163806,1.0
1702303080.1445172,164196,1.0
1702303081.978593,164476,1.0
1702303084.130177,164803,1.0
1702303085.947482,165078,1.0
1702303087.5794718,165325,1.0
1702303089.162882,165564,1.0
1702303091.350098,165899,1.0
1702303093.224257,166185,1.0
1702303095.99665,166609,1.0
1702303098.131071,166934,1.0
1702303100.01304,167219,1.0
1702303101.727007,167479,1.0
1702303103.652842,167772,1.0
1702303105.260845,168016,1.0
1702303106.949165,168273,1.0
1702303108.84543,168561,1.0
1702303110.611368,168829,1.0
1702303112.3458261,169094,1.0
1702303114.345969,169398,1.0
1702303116.137074,169670,1.0
1702303118.03273,169957,1.0
1702303120.224643,170290,1.0
1702303122.682969,170650,1.0
1702303124.567483,170900,1.0
1702303126.161838,171131,1.0
1702303127.720115,171353,1.0
1702303130.2402391,171723,1.0
1702303132.205567,172021,1.0
1702303134.109568,172311,1.0
1702303135.665091,172547,1.0
1702303137.3977752,172808,1.0
1702303139.389492,173108,1.0
1702303141.2023602,173383,1.0
1702303143.161212,173681,1.0
1702303145.094696,173973,1.0
1702303147.036861,174268,1.0
1702303148.650484,174511,1.0
1702303150.539256,174798,1.0
1702303152.292754,175065,1.0
1702303154.101983,175334,1.0
1702303155.917021,175608,1.0
1702303157.687832,175876,1.0
1702303159.215016,176107,1.0
1702303160.674735,176328,1.0
1702303162.305797,176574,1.0
1702303163.850265,176809,1.0
1702303165.1292439,177003,1.0
1702303166.8572748,177265,1.0
1702303168.541444,177520,1.0
1702303170.691756,177846,1.0
1702303172.2344818,178080,1.0
1702303174.0719419,178359,1.0
1702303175.552543,178583,1.0
1702303177.292983,178846,1.0
1702303179.698,179212,1.0
1702303181.739248,179522,1.0
1702303183.39913,179774,1.0
1702303184.909058,180002,1.0
1702303187.0793972,180337,1.0
1702303189.2031538,180659,1.0
1702303192.331328,181143,1.0
1702303194.263968,181438,1.0
1702303195.8015769,181672,1.0
1702303197.614629,181947,1.0
1702303199.489543,182232,1.0
1702303201.133579,182481,1.0
1702303203.066035,182774,1.0
1702303205.197419,183097,1.0
1702303206.817716,183343,1.0
1702303208.3872378,183580,1.0
1702303210.170523,183848,1.0
1702303212.230409,184162,1.0
1702303213.918145,184417,1.0
1702303215.553899,184664,1.0
1702303217.007272,184884,1.0
1702303218.5674272,185120,1.0
1702303220.2157829,185370,1.0
1702303222.24393,185678,1.0
1702303223.755661,185907,1.0
1702303225.55494,186180,1.0
1702303227.5383182,186480,1.0
1702303229.349737,186755,1.0
1702303230.965569,187000,1.0
1702303232.26151,187194,1.0
1702303233.911009,187416,1.0
1702303235.7706409,187673,1.0
1702303237.743314,187954,1.0
1702303239.3948631,188203,1.0
